MSAMD_Code,FIPS_State_Code,FIPS_County_Code,Census_Tract,TotalPop,TotalHispanic,TotalWhite,TotalBlackAfricanAmerican,TotalAIAN,TotalAsian,TotalPI,TotalOther,TotalMulti
33860,1,1,20100,1948,17,1703,150,6,12,0,0,60
33860,1,1,20200,2156,17,872,1149,0,50,0,0,68
33860,1,1,20300,2968,0,2212,551,15,41,8,0,141
33860,1,1,20400,4423,464,3662,162,69,0,0,48,18
33860,1,1,20500,10763,80,7368,2674,0,412,0,0,229
33860,1,1,20600,3851,503,2808,459,0,0,0,0,81
33860,1,1,20700,2761,104,2058,543,0,0,0,31,25
33860,1,1,20801,3187,40,2678,341,98,0,0,0,30
33860,1,1,20802,10915,150,9768,917,0,0,0,0,80
33860,1,1,20900,5668,23,4846,688,0,19,0,0,92
33860,1,1,21000,3286,25,2407,812,42,0,0,0,0
33860,1,1,21100,3295,17,1466,1790,0,0,0,0,22
19300,1,3,10100,3829,10,3021,681,83,0,0,0,34
19300,1,3,10200,2869,38,2466,299,0,0,0,0,66
19300,1,3,10300,7455,39,6256,1014,31,0,0,0,115
19300,1,3,10400,4537,222,4026,198,69,10,0,0,12
19300,1,3,10500,5321,68,4411,686,7,20,0,0,129
19300,1,3,10600,3398,119,1154,2125,0,0,0,0,0
19300,1,3,10701,7813,360,7132,218,13,25,0,0,65
19300,1,3,10703,16099,932,13614,715,0,269,0,84,485
19300,1,3,10704,5411,322,4316,654,0,18,0,0,101
19300,1,3,10705,9403,233,7224,1616,0,175,0,0,155
19300,1,3,10800,7645,0,5230,2392,0,9,0,0,14
19300,1,3,10903,5810,350,4470,885,68,0,0,5,32
19300,1,3,10904,6949,482,6019,111,250,19,0,0,68
19300,1,3,10905,7814,664,6408,529,27,19,0,0,167
19300,1,3,10906,5029,317,4530,123,38,0,0,6,15
19300,1,3,11000,4195,184,3546,229,190,0,0,3,43
19300,1,3,11101,9220,399,8572,185,0,27,0,37,0
19300,1,3,11102,4181,50,3885,38,8,0,0,0,200
19300,1,3,11201,4715,131,4026,404,0,146,0,0,8
19300,1,3,11202,6097,179,4542,1180,0,164,0,0,32
19300,1,3,11300,4713,282,4207,215,9,0,0,0,0
19300,1,3,11401,10709,583,8975,999,0,16,0,0,136
19300,1,3,11403,9461,672,8481,103,40,7,0,0,158
19300,1,3,11405,3709,324,3354,24,0,7,0,0,0
19300,1,3,11406,3600,89,3083,0,8,195,0,12,213
19300,1,3,11407,4946,69,4447,3,0,48,0,0,379
19300,1,3,11408,704,0,704,0,0,0,0,0,0
19300,1,3,11501,5771,141,5214,293,0,45,0,41,37
19300,1,3,11502,11549,773,8056,2233,175,0,0,0,312
19300,1,3,11601,6445,594,5704,72,52,0,0,0,23
19300,1,3,11602,5724,150,5080,309,26,75,0,0,84
19300,1,3,990000,0,0,0,0,0,0,0,0,0
99999,1,5,950100,3524,134,1712,1657,21,0,0,0,0
99999,1,5,950200,4320,78,1414,2736,28,6,0,0,58
99999,1,5,950300,1682,33,794,825,0,0,0,23,7
99999,1,5,950400,3606,157,2092,1328,3,0,0,0,26
99999,1,5,950500,3907,277,2262,1039,0,113,0,108,108
99999,1,5,950600,1959,241,998,691,0,0,0,0,29
99999,1,5,950700,1896,5,730,1156,0,0,0,0,5
99999,1,5,950800,2093,152,1051,878,0,0,0,4,8
99999,1,5,950900,3945,164,1401,2269,0,0,0,0,111
99999,1,5,999999,26932,1241,12454,12579,52,119,0,135,352
13820,1,7,10001,2874,124,2443,158,0,14,0,0,135
13820,1,7,10002,6511,324,5853,274,23,0,0,0,37
13820,1,7,10003,4848,0,3804,978,63,0,0,0,3
13820,1,7,10004,8371,54,4740,3428,7,7,0,0,135
13820,1,7,999999,22604,502,16840,4838,93,21,0,0,310
13820,1,9,50101,7598,1274,5850,400,0,8,0,35,31
13820,1,9,50102,7518,1595,5438,250,0,0,0,0,235
13820,1,9,50200,3412,493,2880,7,0,3,0,0,29
13820,1,9,50300,5246,618,4365,11,51,0,0,8,193
13820,1,9,50400,4764,276,4430,0,0,3,0,0,55
13820,1,9,50500,7007,565,6180,106,52,4,0,0,100
13820,1,9,50601,4127,12,4035,42,5,0,0,0,33
13820,1,9,50602,9263,110,8988,32,22,27,0,0,84
13820,1,9,50700,8775,37,8534,36,48,38,0,0,82
99999,1,11,952100,1989,0,123,1857,0,9,0,0,0
99999,1,11,952200,5726,473,987,4184,5,13,0,0,64
99999,1,11,952500,2963,0,1262,1509,119,0,0,0,73
99999,1,11,999999,10678,473,2372,7550,124,22,0,0,137
99999,1,13,952700,2244,0,1370,819,0,14,0,0,41
99999,1,13,952800,1473,0,1017,434,0,0,0,0,22
99999,1,13,952900,2297,164,903,1206,0,24,0,0,0
99999,1,13,953000,1516,0,884,555,0,43,0,23,11
99999,1,13,953100,3039,0,656,2340,0,0,0,0,43
99999,1,13,953200,3793,55,2341,1355,0,0,0,0,42
99999,1,13,953300,1839,0,1644,165,0,0,0,0,30
99999,1,13,953400,2824,0,1113,1701,10,0,0,0,0
99999,1,13,953500,1329,21,928,349,3,0,0,0,28
99999,1,13,999999,20354,240,10856,8924,13,81,0,23,217
11500,1,15,200,3358,13,1266,1934,0,0,0,0,145
11500,1,15,300,2444,101,495,1848,0,0,0,0,0
11500,1,15,400,2469,34,685,1697,0,0,7,0,46
11500,1,15,500,1517,100,85,1328,0,0,0,0,4
11500,1,15,600,1958,10,426,1403,0,0,0,0,119
11500,1,15,700,2785,62,1369,949,13,197,0,11,184
11500,1,15,800,1302,2,643,589,0,0,0,0,68
11500,1,15,900,3810,28,2370,1205,3,90,0,0,114
11500,1,15,1000,6093,301,4019,1551,0,98,0,0,124
11500,1,15,1100,6781,688,5020,1054,0,0,0,0,19
11500,1,15,1201,3300,317,1732,1053,0,72,0,0,126
11500,1,15,1202,3873,175,2941,529,4,185,0,2,37
11500,1,15,1300,2251,46,2150,24,6,0,0,0,25
11500,1,15,1400,3354,33,2381,940,0,0,0,0,0
11500,1,15,1500,5075,366,4284,272,9,17,0,0,127
11500,1,15,1600,3599,139,2851,591,0,0,0,0,18
11500,1,15,1700,6869,368,4102,1881,72,33,0,0,413
11500,1,15,1800,6488,261,5174,671,18,93,0,0,271
11500,1,15,2000,7063,284,6545,125,34,0,0,0,75
11500,1,15,2101,3778,34,2249,1405,0,33,0,0,57
11500,1,15,2102,3315,109,2876,228,0,31,0,0,71
11500,1,15,2103,7222,341,5378,1285,0,120,0,0,98
11500,1,15,2200,3374,31,3112,170,10,31,0,0,20
11500,1,15,2300,3605,120,2905,454,4,0,0,10,112
11500,1,15,2400,4388,0,4353,28,0,0,0,0,7
11500,1,15,2501,7374,65,6967,321,21,0,0,0,0
11500,1,15,2502,4439,21,4213,28,24,0,0,0,153
11500,1,15,2600,4760,26,4589,140,5,0,0,0,0
11500,1,15,981901,4,0,4,0,0,0,0,0,0
11500,1,15,981902,0,0,0,0,0,0,0,0,0
11500,1,15,981903,0,0,0,0,0,0,0,0,0
99999,1,17,953800,3877,0,2846,997,17,0,0,0,17
99999,1,17,953900,3094,0,1431,1607,0,0,9,0,47
99999,1,17,954000,6473,34,2586,3782,0,10,0,0,61
99999,1,17,954200,3313,20,2680,549,21,0,0,0,43
99999,1,17,954300,4789,21,2848,1652,19,211,0,0,38
99999,1,17,954400,906,10,118,763,0,5,0,0,10
99999,1,17,954500,4006,55,1686,2215,0,0,0,0,50
99999,1,17,954600,3060,0,2177,874,0,0,0,0,9
99999,1,17,954700,4561,12,3150,1289,0,34,0,0,76
99999,1,19,955701,3633,46,3276,265,14,0,0,0,32
99999,1,19,955702,4256,109,4051,46,4,20,0,0,26
99999,1,19,955800,5248,121,4930,153,14,2,4,0,24
99999,1,19,955900,4285,53,3956,205,0,0,0,0,71
99999,1,19,956000,4422,22,3790,442,15,0,0,0,153
99999,1,19,956100,4164,40,3851,125,97,50,0,0,1
99999,1,19,999999,26008,391,23854,1236,144,72,4,0,307
13820,1,21,60101,4632,53,3231,1271,0,52,0,0,25
13820,1,21,60102,6445,539,5108,704,0,23,0,0,71
13820,1,21,60200,2868,0,2809,59,0,0,0,0,0
13820,1,21,60300,3800,320,3425,21,0,0,0,0,34
13820,1,21,60401,5993,485,4831,589,15,33,0,0,40
13820,1,21,60402,8784,1518,6560,569,0,0,0,0,137
13820,1,21,60500,2898,25,2198,651,10,0,0,0,14
13820,1,21,60600,3357,232,2776,206,39,0,0,85,19
13820,1,21,60700,5042,178,4351,401,94,18,0,0,0
99999,1,23,956700,3024,0,722,2283,2,0,0,2,15
99999,1,23,956800,4313,48,2650,1576,0,0,0,0,39
99999,1,23,956900,3750,0,2985,720,0,0,0,0,45
99999,1,23,957000,2308,0,1130,1174,0,0,0,0,4
99999,1,23,999999,13395,48,7487,5753,2,0,0,2,103
99999,1,25,957500,1319,10,1038,266,5,0,0,0,0
99999,1,25,957601,1076,29,680,367,0,0,0,0,0
99999,1,25,957602,5169,0,2759,2293,0,21,96,0,0
99999,1,25,957700,1607,0,817,790,0,0,0,0,0
99999,1,25,957800,4894,21,2396,2407,0,0,0,0,70
99999,1,25,957901,4047,0,2523,1455,0,69,0,0,0
99999,1,25,957902,4172,25,2093,2054,0,0,0,0,0
99999,1,25,958001,1022,0,688,332,2,0,0,0,0
99999,1,25,958002,1764,0,382,1382,0,0,0,0,0
99999,1,25,999999,25070,85,13376,11346,7,90,96,0,70
99999,1,27,958900,5151,213,3873,915,65,0,0,22,63
99999,1,27,959000,3426,217,2522,614,33,0,0,25,15
99999,1,27,959100,2699,0,2466,118,0,0,0,0,115
99999,1,27,959200,2261,0,1960,301,0,0,0,0,0
99999,1,27,999999,13537,430,10821,1948,98,0,0,47,193
99999,1,29,959500,2597,27,2549,6,0,3,0,0,12
99999,1,29,959600,3805,106,3229,317,0,11,0,0,142
99999,1,29,959700,3552,181,3188,86,33,0,0,0,64
99999,1,29,959800,5048,31,4911,33,0,39,0,0,34
99999,1,29,999999,15002,345,13877,442,33,53,0,0,252
99999,1,31,10100,2196,28,1885,78,116,16,0,0,73
99999,1,31,10200,1909,8,1662,139,71,18,0,0,11
99999,1,31,10300,4918,137,4226,300,51,33,0,5,166
99999,1,31,10400,1958,52,1491,279,15,0,0,4,117
99999,1,31,10500,4449,114,2753,1471,0,83,0,0,28
99999,1,31,10600,1567,2,1455,11,71,5,0,0,23
99999,1,31,10700,2236,144,1855,64,49,6,0,0,118
99999,1,31,10800,2730,77,2430,90,20,5,0,0,108
99999,1,31,10900,2377,74,1525,747,0,0,0,0,31
99999,1,31,11000,3599,277,2629,612,21,20,0,0,40
99999,1,31,11100,2020,136,1460,350,0,23,0,0,51
99999,1,31,11201,8164,591,6158,703,0,291,0,0,421
99999,1,31,11202,8492,1165,4705,2330,0,121,0,0,171
